Thu Oct 05 09:17:58 2017    prof.txt

         3128204 function calls (3124911 primitive calls) in 5.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89    0.004    0.000    0.004    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.004    0.004    0.011    0.011 contour.py:4(<module>)
        1    0.004    0.004    0.007    0.007 rrule.py:7(<module>)
     9576    0.004    0.000    0.006    0.000 color_conversions.py:92(_normalise_type)
        1    0.004    0.004    0.045    0.045 gml.py:24(<module>)
       22    0.004    0.000    0.004    0.000 {resize}
        1    0.004    0.004    0.089    0.089 backend_bases.py:28(<module>)
        1    0.004    0.004    0.004    0.004 socket.py:45(<module>)
        1    0.004    0.004    0.010    0.010 urllib.py:23(<module>)
        1    0.004    0.004    0.037    0.037 textpath.py:3(<module>)
        1    0.004    0.004    0.004    0.004 lapack.py:437(<module>)
     4985    0.004    0.000    0.004    0.000 {zip}
     4788    0.003    0.000    0.004    0.000 digraph.py:753(predecessors_iter)
        1    0.003    0.003    0.010    0.010 _minimize.py:8(<module>)
        1    0.003    0.003    0.072    0.072 __init__.py:110(<module>)
     4752    0.003    0.000    0.009    0.000 type_check.py:459(asscalar)
        1    0.003    0.003    0.004    0.004 cbook.py:7(<module>)
     4788    0.003    0.000    0.004    0.000 digraph.py:743(successors_iter)
        2    0.003    0.002    0.012    0.006 __init__.py:45(<module>)
      235    0.003    0.000    0.015    0.000 decorator.py:171(make)
        1    0.003    0.003    0.003    0.003 _ode.py:39(<module>)
     9576    0.003    0.000    0.003    0.000 graph.py:1215(get_edge_data)
        1    0.003    0.003    0.139    0.139 algebraicconnectivity.py:4(<module>)
        1    0.003    0.003    0.006    0.006 iterative.py:1(<module>)
 1345/500    0.003    0.000    0.003    0.000 sre_parse.py:140(getwidth)
        1    0.003    0.003    0.005    0.005 __init__.py:15(<module>)
        3    0.003    0.001    0.015    0.005 utils.py:4(<module>)
    14477    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      647    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.003    0.003    0.305    0.305 kmeantools.py:1(<module>)
        1    0.003    0.003    0.006    0.006 cElementTree.py:3(<module>)
        1    0.003    0.003    0.012    0.012 widgets.py:10(<module>)
        1    0.003    0.003    0.016    0.016 dates.py:108(<module>)
        1    0.003    0.003    0.028    0.028 refactor.py:9(<module>)
        1    0.003    0.003    0.006    0.006 __init__.py:56(<module>)
        1    0.002    0.002    0.003    0.003 tz.py:9(<module>)
       11    0.002    0.000    0.008    0.001 artist.py:939(_get_setters_and_targets)
        1    0.002    0.002    0.003    0.003 mathtext.py:19(<module>)
  292/291    0.002    0.000    0.010    0.000 {__import__}
      652    0.002    0.000    0.004    0.000 inspect.py:744(getargs)
        1    0.002    0.002    0.011    0.011 _root.py:7(<module>)
     3943    0.002    0.000    0.003    0.000 sre_parse.py:130(__getitem__)
        1    0.002    0.002    0.135    0.135 colorbar.py:20(<module>)
        1    0.002    0.002    0.030    0.030 pyparsing.py:61(<module>)
        1    0.002    0.002    0.024    0.024 artist.py:1(<module>)
        1    0.002    0.002    0.003    0.003 csr.py:1(<module>)
        1    0.002    0.002    0.002    0.002 basic.py:5(<module>)
        1    0.002    0.002    0.010    0.010 tempfile.py:18(<module>)
        1    0.002    0.002    0.003    0.003 case.py:1(<module>)
        1    0.002    0.002    0.010    0.010 _internal.py:6(<module>)
     2537    0.002    0.000    0.003    0.000 {min}
        2    0.002    0.001    0.025    0.012 __init__.py:8(<module>)
        1    0.002    0.002    0.020    0.020 font_manager.py:21(<module>)
        1    0.002    0.002    0.005    0.005 numeric.py:1(<module>)
     4724    0.002    0.000    0.007    0.000 sre_parse.py:201(get)
      235    0.002    0.000    0.006    0.000 decorator.py:97(__init__)
        1    0.002    0.002    0.004    0.004 __init__.py:41(<module>)
     3102    0.002    0.000    0.003    0.000 pickle.py:929(load_binint1)
        1    0.002    0.002    0.003    0.003 color_objects.py:3(<module>)
        1    0.002    0.002    0.190    0.190 pyplot.py:17(<module>)
        1    0.002    0.002    0.003    0.003 ivp.py:1(<module>)
        1    0.002    0.002    0.009    0.009 graphml.py:36(<module>)
        1    0.002    0.002    0.003    0.003 basic.py:7(<module>)
        1    0.002    0.002    0.007    0.007 minpack.py:1(<module>)
      144    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.002    0.002    0.003    0.003 ElementTree.py:59(<module>)
        1    0.002    0.002    0.004    0.004 cm.py:6(<module>)
     9704    0.002    0.000    0.002    0.000 {iter}
        1    0.002    0.002    0.002    0.002 transforms.py:30(<module>)
       44    0.002    0.000    0.002    0.000 {method 'sort' of 'numpy.ndarray' objects}
       11    0.002    0.000    0.004    0.000 artist.py:883(get_aliases)
        2    0.002    0.001    0.007    0.004 __init__.py:2(<module>)
        1    0.002    0.002    0.002    0.002 arpack.py:7(<module>)
        1    0.002    0.002    0.098    0.098 collections.py:10(<module>)
        1    0.002    0.002    0.002    0.002 shutil.py:5(<module>)
        1    0.002    0.002    0.004    0.004 index_tricks.py:1(<module>)
       36    0.002    0.000    0.002    0.000 {dir}
        1    0.002    0.002    0.028    0.028 __init__.py:7(<module>)
        1    0.002    0.002    0.002    0.002 legend.py:13(<module>)
       22    0.002    0.000    0.005    0.000 function_base.py:432(histogram)
      429    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
       22    0.002    0.000    0.002    0.000 {threshold}
        1    0.002    0.002    0.300    0.300 color_conversions.py:6(<module>)
        1    0.002    0.002    0.002    0.002 linsolve.py:1(<module>)
      429    0.002    0.000    0.003    0.000 copy.py:306(_reconstruct)
      235    0.002    0.000    0.024    0.000 decorator.py:205(create)
        1    0.002    0.002    0.002    0.002 nnls.py:1(<module>)
      652    0.002    0.000    0.006    0.000 inspect.py:804(getargspec)
     1424    0.001    0.000    0.002    0.000 pickle.py:1173(load_long_binput)
     2704    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1E228030}
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
        1    0.001    0.001    0.001    0.001 lbfgsb.py:9(<module>)
        1    0.001    0.001    0.008    0.008 misc.py:37(<module>)
        1    0.001    0.001    0.001    0.001 odepack.py:2(<module>)
        1    0.001    0.001    0.018    0.018 inspect.py:25(<module>)
        1    0.001    0.001    0.006    0.006 newround.py:3(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        1    0.001    0.001    0.001    0.001 lil.py:2(<module>)
        1    0.001    0.001    0.001    0.001 quadpack.py:3(<module>)
   303/96    0.001    0.000    0.024    0.000 sre_parse.py:301(_parse_sub)
     8092    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 cobyla.py:11(<module>)
        1    0.001    0.001    0.002    0.002 npyio.py:1(<module>)
        1    0.001    0.001    0.001    0.001 matfuncs.py:5(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.001    0.001    0.021    0.021 fixer_util.py:1(<module>)
        1    0.001    0.001    0.003    0.003 least_squares.py:1(<module>)
