Thu Oct 05 08:35:37 2017    prof.txt

         3422957 function calls (3419664 primitive calls) in 5.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    0.038    0.038 textpath.py:3(<module>)
        1    0.004    0.004    0.004    0.004 lapack.py:437(<module>)
        1    0.004    0.004    0.006    0.006 FixTk.py:1(<module>)
        1    0.004    0.004    0.004    0.004 socket.py:45(<module>)
        1    0.004    0.004    0.010    0.010 urllib.py:23(<module>)
        1    0.003    0.003    0.074    0.074 __init__.py:110(<module>)
        1    0.003    0.003    0.010    0.010 _minimize.py:8(<module>)
        1    0.003    0.003    0.004    0.004 cbook.py:7(<module>)
        2    0.003    0.002    0.012    0.006 __init__.py:45(<module>)
      235    0.003    0.000    0.016    0.000 decorator.py:171(make)
     4752    0.003    0.000    0.009    0.000 type_check.py:459(asscalar)
        1    0.003    0.003    0.003    0.003 _ode.py:39(<module>)
        1    0.003    0.003    0.006    0.006 iterative.py:1(<module>)
        1    0.003    0.003    0.144    0.144 algebraicconnectivity.py:4(<module>)
        3    0.003    0.001    0.015    0.005 utils.py:4(<module>)
        1    0.003    0.003    0.007    0.007 cElementTree.py:3(<module>)
        1    0.003    0.003    0.005    0.005 __init__.py:15(<module>)
        1    0.003    0.003    0.316    0.316 kmeantools.py:1(<module>)
    19136    0.003    0.000    0.003    0.000 {iter}
 1345/500    0.003    0.000    0.003    0.000 sre_parse.py:140(getwidth)
        1    0.003    0.003    0.013    0.013 widgets.py:10(<module>)
      647    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.003    0.003    0.016    0.016 dates.py:108(<module>)
        1    0.003    0.003    0.003    0.003 tz.py:9(<module>)
        1    0.003    0.003    0.028    0.028 refactor.py:9(<module>)
        1    0.003    0.003    0.006    0.006 __init__.py:56(<module>)
        1    0.003    0.003    0.138    0.138 colorbar.py:20(<module>)
      652    0.003    0.000    0.004    0.000 inspect.py:744(getargs)
       11    0.002    0.000    0.008    0.001 artist.py:939(_get_setters_and_targets)
        1    0.002    0.002    0.003    0.003 basic.py:5(<module>)
        1    0.002    0.002    0.003    0.003 csr.py:1(<module>)
        1    0.002    0.002    0.011    0.011 _root.py:7(<module>)
  292/291    0.002    0.000    0.009    0.000 {__import__}
        1    0.002    0.002    0.003    0.003 mathtext.py:19(<module>)
     3943    0.002    0.000    0.003    0.000 sre_parse.py:130(__getitem__)
        1    0.002    0.002    0.031    0.031 pyparsing.py:61(<module>)
      144    0.002    0.000    0.002    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.002    0.002    0.011    0.011 _internal.py:6(<module>)
        1    0.002    0.002    0.025    0.025 artist.py:1(<module>)
        1    0.002    0.002    0.195    0.195 pyplot.py:17(<module>)
        1    0.002    0.002    0.009    0.009 tempfile.py:18(<module>)
        1    0.002    0.002    0.003    0.003 case.py:1(<module>)
        2    0.002    0.001    0.025    0.013 __init__.py:8(<module>)
     4724    0.002    0.000    0.007    0.000 sre_parse.py:201(get)
        1    0.002    0.002    0.005    0.005 numeric.py:1(<module>)
        1    0.002    0.002    0.004    0.004 __init__.py:41(<module>)
      235    0.002    0.000    0.006    0.000 decorator.py:97(__init__)
        1    0.002    0.002    0.003    0.003 color_objects.py:3(<module>)
     2537    0.002    0.000    0.003    0.000 {min}
     3102    0.002    0.000    0.003    0.000 pickle.py:929(load_binint1)
        1    0.002    0.002    0.004    0.004 ivp.py:1(<module>)
        1    0.002    0.002    0.002    0.002 linsolve.py:1(<module>)
        1    0.002    0.002    0.003    0.003 basic.py:7(<module>)
        1    0.002    0.002    0.003    0.003 ElementTree.py:59(<module>)
       11    0.002    0.000    0.004    0.000 artist.py:883(get_aliases)
        1    0.002    0.002    0.003    0.003 transforms.py:30(<module>)
        1    0.002    0.002    0.007    0.007 minpack.py:1(<module>)
        1    0.002    0.002    0.004    0.004 cm.py:6(<module>)
        1    0.002    0.002    0.010    0.010 graphml.py:36(<module>)
       44    0.002    0.000    0.002    0.000 {method 'sort' of 'numpy.ndarray' objects}
        2    0.002    0.001    0.007    0.004 __init__.py:2(<module>)
        1    0.002    0.002    0.022    0.022 font_manager.py:21(<module>)
        1    0.002    0.002    0.100    0.100 collections.py:10(<module>)
        1    0.002    0.002    0.004    0.004 index_tricks.py:1(<module>)
       22    0.002    0.000    0.002    0.000 {threshold}
        1    0.002    0.002    0.027    0.027 __init__.py:7(<module>)
        1    0.002    0.002    0.310    0.310 color_conversions.py:6(<module>)
       22    0.002    0.000    0.005    0.000 function_base.py:432(histogram)
        1    0.002    0.002    0.002    0.002 arpack.py:7(<module>)
        1    0.002    0.002    0.002    0.002 legend.py:13(<module>)
       36    0.002    0.000    0.002    0.000 {dir}
     9504    0.002    0.000    0.002    0.000 digraph.py:1148(is_directed)
        1    0.002    0.002    0.002    0.002 shutil.py:5(<module>)
     1424    0.002    0.000    0.003    0.000 pickle.py:1173(load_long_binput)
      429    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
      235    0.002    0.000    0.025    0.000 decorator.py:205(create)
     2704    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x1E228030}
        1    0.002    0.002    0.006    0.006 newround.py:3(<module>)
      652    0.002    0.000    0.006    0.000 inspect.py:804(getargspec)
      429    0.002    0.000    0.003    0.000 copy.py:306(_reconstruct)
        1    0.001    0.001    0.003    0.003 decorators.py:1(<module>)
        1    0.001    0.001    0.001    0.001 odepack.py:2(<module>)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:60(<module>)
        1    0.001    0.001    0.001    0.001 quadpack.py:3(<module>)
        1    0.001    0.001    0.003    0.003 triangulation.py:1(<module>)
        1    0.001    0.001    0.001    0.001 nnls.py:1(<module>)
        1    0.001    0.001    0.001    0.001 lil.py:2(<module>)
        1    0.001    0.001    0.002    0.002 matfuncs.py:5(<module>)
        1    0.001    0.001    0.001    0.001 cobyla.py:11(<module>)
        1    0.001    0.001    0.008    0.008 misc.py:37(<module>)
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
        1    0.001    0.001    0.003    0.003 grammar.py:13(<module>)
     8092    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
   303/96    0.001    0.000    0.024    0.000 sre_parse.py:301(_parse_sub)
        1    0.001    0.001    0.002    0.002 afm.py:34(<module>)
        1    0.001    0.001    0.002    0.002 npyio.py:1(<module>)
        1    0.001    0.001    0.001    0.001 lbfgsb.py:9(<module>)
        1    0.001    0.001    0.019    0.019 inspect.py:25(<module>)
        1    0.001    0.001    0.003    0.003 least_squares.py:1(<module>)
        1    0.001    0.001    0.006    0.006 rcsetup.py:15(<module>)
       84    0.001    0.000    0.002    0.000 pyparsing.py:3238(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of 'file' objects}
        1    0.001    0.001    0.002    0.002 mlab.py:142(<module>)
        1    0.001    0.001    0.021    0.021 fixer_util.py:1(<module>)
